text,true_intent,predicted_intent
Where is the money I topped off with?,pending_top_up,topping_up_by_card
Can i cancel a charge?,cancel_transfer,request_refund
Why did I not get my cash back after I withdrew?,wrong_amount_of_cash_received,cash_withdrawal_not_recognised
Where is the money I pushed it's on my mobile app as being withdrawn.,wrong_amount_of_cash_received,pending_cash_withdrawal
My cash withdrawal was partly declined,wrong_amount_of_cash_received,declined_cash_withdrawal
Will declined funds I tried to withdraw be returned to me?,wrong_amount_of_cash_received,pending_cash_withdrawal
"I show another charge on my card from when I used it, why?",card_payment_fee_charged,card_payment_not_recognised
im not sure what this charge is for,card_payment_fee_charged,card_payment_not_recognised
"I completed an in country transfer a few days ago and was sure to check the account information several times since the transaction was completed, but the funds are still not available. What is the problem?",transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
I am still waiting for a transaction to be completed,transfer_not_received_by_recipient,pending_transfer
How long does it take for a transfer to get to a recipient?,transfer_not_received_by_recipient,transfer_timing
How can the recipient see my money transaction?,transfer_not_received_by_recipient,transfer_into_account
how long do money transfers take?,transfer_not_received_by_recipient,transfer_timing
Where is the transfer I started?,transfer_not_received_by_recipient,transfer_timing
transaction failed?,transfer_not_received_by_recipient,declined_transfer
I need to find out why my transfer didn't get there.,transfer_not_received_by_recipient,failed_transfer
Im waiting for my transaction to go through.,transfer_not_received_by_recipient,pending_transfer
I made a transaction and it is taking a very long time to go through.,transfer_not_received_by_recipient,pending_transfer
Is there a reason why my transaction is taking so long?,transfer_not_received_by_recipient,pending_transfer
How long will it take for my transaction to be completed?,transfer_not_received_by_recipient,pending_transfer
When will my funds transfer?,transfer_not_received_by_recipient,transfer_timing
How long until my friend receives my transaction?,transfer_not_received_by_recipient,transfer_timing
"I need support options, I want to top my card",supported_cards_and_currencies,topping_up_by_card
why wouldn't you support american express? its a card i like and use often and i don't want to get a different one,supported_cards_and_currencies,visa_or_mastercard
What options do I have in regards to payment?,supported_cards_and_currencies,card_payment_not_recognised
Do you accept other currencies besides US Dollars?,supported_cards_and_currencies,fiat_currency_support
What cards and currencies will suffice?,supported_cards_and_currencies,visa_or_mastercard
I requested a virtual card but it is not showing up. Why?,getting_virtual_card,virtual_card_not_working
Where is the virtual card located?,getting_virtual_card,virtual_card_link
Can I get a copy of the card by email?,getting_virtual_card,order_physical_card
Where are the virtual cards located?,getting_virtual_card,virtual_card_link
I need to reorder my virtual card!,getting_virtual_card,virtual_card_linking
Will my card be accepted all over the world?,card_acceptance,country_support
What stores can I sue my card?,card_acceptance,topping_up_by_card
Where can I pay with my debit or credit card?,card_acceptance,top_up_by_card_charge
areas card is accpeted,card_acceptance,supported_cards_and_currencies
The app wouldn't accept my top up.,top_up_reverted,top_up_failed
"I believe my money did not go through with my top up, was there a problem on your end?",top_up_reverted,top_up_failed
I put money into my account for the minimum balance but the application didn't accept.,top_up_reverted,top_up_failed
"When I topped up, the app reverted my funds.",top_up_reverted,topping_up_by_card
I tryed to make a top-up with cryptocurrency but the payment was referted.,top_up_reverted,top_up_failed
On my last transaction it seem that my top-up was not successful.,top_up_reverted,top_up_failed
I made a deposit this morning but it is still pending?,balance_not_updated_after_cheque_or_cash_deposit,pending_cash_withdrawal
cash deposit to my account has shown a red flag.,balance_not_updated_after_cheque_or_cash_deposit,pending_cash_withdrawal
I have paid money into my account but it doesn't show.,balance_not_updated_after_cheque_or_cash_deposit,pending_top_up
Are cheques accepted to my account? Mine didn't seem to work.,balance_not_updated_after_cheque_or_cash_deposit,declined_cash_withdrawal
Why does my account not accept cash deposits?,balance_not_updated_after_cheque_or_cash_deposit,declined_cash_withdrawal
There are some strange charges on my card that I didn't make from a few days ago.  Is my card stolen and if so should I cancel it?  Will I get refunded the charges?,card_payment_not_recognised,compromised_card
Can you freeze my account?  I just saw there are transactions on my account that I don't recognize.  How can I fix this?,card_payment_not_recognised,compromised_card
What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!,card_payment_not_recognised,compromised_card
I have an unauthorized transaction on my statement,card_payment_not_recognised,direct_debit_payment_not_recognised
I don't know where this transaction came from?,card_payment_not_recognised,direct_debit_payment_not_recognised
I see a charge on my account that I don't recall making. I feel like my account may have been compromised.,card_payment_not_recognised,direct_debit_payment_not_recognised
Should I just wait until the post office sends a change of address form?,edit_personal_details,direct_card_payment_not_received
Why do you require so many details about my identity?,why_verify_identity,why_is_my_card_blocked
I'd rather not verify my identity.,why_verify_identity,why_is_my_card_blocked
do I need to verify my identity every time I log into my account?,why_verify_identity,why_is_my_card_blocked
Why am I required to verify my identity?,why_verify_identity,why_is_my_card_blocked
Can I make transfers before identity verification?,why_verify_identity,why_is_my_card_blocked
What is the need to verify my identity?,why_verify_identity,why_is_my_card_blocked
Do I have to do the identity check?,why_verify_identity,why_is_my_card_blocked
Can I use my account without verifying my identity?,why_verify_identity,why_is_my_card_blocked
Why is identity verification mandatory?,why_verify_identity,why_is_my_card_blocked
Do I have to do an identity check?,why_verify_identity,why_is_my_card_blocked
I would like to not have to do the identity verification.,why_verify_identity,why_is_my_card_blocked
"Can I still use my account, even though the identity verification has not passed yet?",why_verify_identity,why_is_my_card_blocked
Why do you require all my identity details?,why_verify_identity,why_is_my_card_blocked
Why do you need so much information to verify my identity?,why_verify_identity,verify_my_identity
What is the purpose for the identity check,why_verify_identity,why_is_my_card_blocked
I don't like that I have to fill out so much information about my identity.,why_verify_identity,why_is_my_card_blocked
What is the point of an identity check?,why_verify_identity,why_is_my_card_blocked
How come you need to know my identity?,why_verify_identity,why_is_my_card_blocked
"May I use my account now, even though the identity verification has not gone through yet?",why_verify_identity,why_is_my_card_blocked
Do I need to verify my identity to use my account?,why_verify_identity,why_is_my_card_blocked
Why am I required to do an identity check?,why_verify_identity,why_is_my_card_blocked
Why am I being asked to have an identity check,why_verify_identity,why_is_my_card_blocked
Can i make transactions before identity verification is complete?,why_verify_identity,why_is_my_card_blocked
Do I really need to verify my identity?,why_verify_identity,why_is_my_card_blocked
Why do I have to give you all of my identification details?,why_verify_identity,why_is_my_card_blocked
Why do you require so many identity details?,why_verify_identity,why_is_my_card_blocked
"Since my id hasn't been verified, when can I use my account?",why_verify_identity,why_is_my_card_blocked
I won't verify my identity.,why_verify_identity,why_is_my_card_blocked
I want to skip verification of my identity.,why_verify_identity,why_is_my_card_blocked
I do not wish to verify my identity.,why_verify_identity,why_is_my_card_blocked
Why do I have to verify my identity?,why_verify_identity,why_is_my_card_blocked
what is the identity check?,why_verify_identity,verify_my_identity
What other methods are there to verify my identity?,why_verify_identity,verify_my_identity
Do I need to verify my identity?,why_verify_identity,why_is_my_card_blocked
Do I need to verify my identity each time I wish to use my account?,why_verify_identity,why_is_my_card_blocked
Can I use my account if the identity verification is not complete?,why_verify_identity,why_is_my_card_blocked
Why is it asking me to verify my identity,why_verify_identity,why_is_my_card_blocked
Do I have to verify my identity?,why_verify_identity,why_is_my_card_blocked
Why do you need to know so much about me,why_verify_identity,why_is_my_card_blocked
Why did I need to verfiy my identity?,why_verify_identity,why_is_my_card_blocked
what do i do if my verification failed,unable_to_verify_identity,verify_top_up_failed
What's with not verifying my Id?,unable_to_verify_identity,why_is_my_card_blocked
What do i need to verify my id?,unable_to_verify_identity,verify_my_identity
How do I show this stupid system that this is really my identity?,unable_to_verify_identity,verify_my_identity
How long will it take for my ID to verify?,unable_to_verify_identity,verify_my_identity
what is the process for setting up a pin,get_physical_card,pin_blocked
WHERE IS MY MONEY I WAS USING MY CARD AND IT DISAPPEARED,topping_up_by_card,top_up_reverted
What is the process for using my credit card to transfer money?,topping_up_by_card,transfer_into_account
Can I top up using my car?,topping_up_by_card,top_up_by_card
"I followed the instructions to transfer money using my card, but then the money disappeared and I don't know what happened.",topping_up_by_card,top_up_reverted
Where's the money that got charged to my card? It's not showing up in my account balance,topping_up_by_card,transfer_fee_charged
"I am missing some funds from my account - I tried to transfer them using my credit card number, and it disappeared.",topping_up_by_card,top_up_reverted
"I did a top-up, but I'm not seeing it in my wallet yet.",topping_up_by_card,top_up_reverted
"i know i entered the right info, but my top up isn't in my balance",topping_up_by_card,top_up_failed
"I tried to top up using my card, but now the money just disappeared!",topping_up_by_card,top_up_reverted
I tried to use my card to top up but all of the money has disappeared.,topping_up_by_card,top_up_reverted
How can someone add money to my account?,topping_up_by_card,transfer_into_account
Cannot access my top up.,topping_up_by_card,top_up_failed
Why is my money gone right when I attempted to top up,topping_up_by_card,top_up_reverted
Who can top up my accounts?,topping_up_by_card,top_up_by_card
I topped up my card but the money disappeared.,topping_up_by_card,top_up_reverted
Why can't I see the top-up amount I just added to my account?,topping_up_by_card,pending_top_up
Do these virtual cards have any caps on using them?,disposable_card_limits,top_up_limits
What is the maximum number of transactions I can make with one card?,disposable_card_limits,card_payment_limits
Can you explain the virtual cards limit?,disposable_card_limits,virtual_card_limits
Can I freeze my card right now?,compromised_card,card_linking
Can you freeze my card because someone used it while I was out of town. I did not make these purchases.,compromised_card,card_payment_not_recognised
Can I use app to freeze account and dispute fraud?,compromised_card,direct_debit_payment_not_recognised
"Someone has my card number, freeze my account.",compromised_card,lost_or_stolen_card
"I see random purchases to my account, was it hacked?",compromised_card,card_payment_not_recognised
How do I freeze my card using the app?,compromised_card,card_linking
My card has been compromised,compromised_card,lost_or_stolen_card
How do I freeze my account?,compromised_card,terminate_account
How do I freeze my card? I think someone is using it to make a bunch of online transactions.,compromised_card,lost_or_stolen_card
"If I feel someone has my card information, can I get a new card?",compromised_card,lost_or_stolen_card
Can I use app to freeze my card and dispute fraud?,compromised_card,card_about_to_expire
"Someone else is using my card, freeze it.",compromised_card,lost_or_stolen_card
what is this charge on my account,direct_debit_payment_not_recognised,card_payment_not_recognised
"im so mad right now. theres several charges that I think my x boyfriend made on my card. the companys on the website wouldn't refund me my money, they told me to contact my bank. DO something please.",direct_debit_payment_not_recognised,card_payment_not_recognised
someone stole my money,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised
"I am seeing a weird payment showing up that I know I did not make, how can I get it cancelled?",direct_debit_payment_not_recognised,card_payment_not_recognised
Someone has taken my money and I don't know who,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised
I was charged on my account that shouldn't be there.,direct_debit_payment_not_recognised,card_payment_not_recognised
How do i finalize a card payment,pending_card_payment,reverted_card_payment?
Why has my payment not gone through?,pending_card_payment,declined_card_payment
"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",pending_card_payment,transaction_charged_twice
What does a pending transaction mean?,pending_card_payment,pending_cash_withdrawal
Someone stole my cards!,lost_or_stolen_phone,lost_or_stolen_card
"I wasn't charged the correct amount for an item I purchased, how can I fix this?",request_refund,card_payment_wrong_exchange_rate
I want this amount reversed out of my account.,request_refund,cancel_transfer
Good morning. I tried to make a purchase with my credit card last night and again this morning. Both times it was declined. Can you investigate?,declined_transfer,declined_card_payment
I am getting continuous failure for all my transfers. I have cross checked each recipient detail again and again and everything is correct.,declined_transfer,failed_transfer
"How can I fix my card, it got declined twice.",declined_transfer,card_not_working
The card got declined twice when I tried to use it to buy something online yesterday.,declined_transfer,card_not_working
How do I contact customer support about a transfer?,declined_transfer,transfer_not_received_by_recipient
Why was I unable to do a transfer?,declined_transfer,failed_transfer
Trouble transferring transaction contact for help,declined_transfer,failed_transfer
When I try and to buy something using my card it keeps getting declined.,declined_transfer,declined_card_payment
Double check your funds may be declined,declined_transfer,declined_cash_withdrawal
I can't transfer money from my account.,declined_transfer,failed_transfer
My card is being declined online. Could you tell me what might be broken or wrong with the account?,declined_transfer,declined_card_payment
"I was attempting to purchase a golf club off eBay yesterday, but my credit card was declined. I tried multiple times, and again this morning. Can you check into my card please?",declined_transfer,declined_card_payment
The refund isn't showing up on my account.,Refund_not_showing_up,refund_not_showing_up
My refund is missing from my statement.,Refund_not_showing_up,refund_not_showing_up
"I requested a refund, and never received it. What can I do?",Refund_not_showing_up,refund_not_showing_up
I was supposed to get a purchase refunded but I don't see the money in my account,Refund_not_showing_up,refund_not_showing_up
There's a refund missing from my statement,Refund_not_showing_up,refund_not_showing_up
"I need help. I asked for a refund from a merchant a while ago, but I have not gotten my money back. I keep checking my account, but nothing is showing up. What should I do now?",Refund_not_showing_up,refund_not_showing_up
I am awaiting my refund,Refund_not_showing_up,refund_not_showing_up
How long does it take for a refund?,Refund_not_showing_up,refund_not_showing_up
"Help! I keep checking my account, but my refund is not showing. I requested that a seller refund my money a while back, but there is no money showing in my account. What can you do for me?",Refund_not_showing_up,refund_not_showing_up
Can you tell me why my refund is not showing in my statement?,Refund_not_showing_up,refund_not_showing_up
"I asked for a refund last week but nothing has happened yet, can you help me please?",Refund_not_showing_up,refund_not_showing_up
Why is my refund missing from my  statement?,Refund_not_showing_up,refund_not_showing_up
Still waiting on a refund.,Refund_not_showing_up,refund_not_showing_up
I requested a refund and it is missing.,Refund_not_showing_up,refund_not_showing_up
"Hi, As suggested by you, i have asked the seller to initiate the refund, it has been a week and i haven't received my money. Please advise.",Refund_not_showing_up,refund_not_showing_up
I bought something and returned it and the money from the return isn't in my account.,Refund_not_showing_up,refund_not_showing_up
Do you have any idea on when I will receive my refund? I got my statement and it was not there.,Refund_not_showing_up,refund_not_showing_up
Why isn't a recent refund on my statement?,Refund_not_showing_up,refund_not_showing_up
Where can I see the refund in my account,Refund_not_showing_up,refund_not_showing_up
"i was supposed to get a refund but my balance hasn't changed, why not?",Refund_not_showing_up,refund_not_showing_up
I requested a refund from a merchant days ago but I do not see it in my account.,Refund_not_showing_up,refund_not_showing_up
The refund has not appeared in my account,Refund_not_showing_up,refund_not_showing_up
Did my refund go through? It's not on my statement.,Refund_not_showing_up,refund_not_showing_up
My statement doesn't show that a refund has processed,Refund_not_showing_up,refund_not_showing_up
I requested a refund from a store but it hasn't arrived.,Refund_not_showing_up,refund_not_showing_up
I still haven't seen a refund on my account,Refund_not_showing_up,refund_not_showing_up
I am missing a refund.,Refund_not_showing_up,refund_not_showing_up
My refund doesn't seem to be showing on my statement.,Refund_not_showing_up,refund_not_showing_up
I am not seeing a refund in my statement.,Refund_not_showing_up,refund_not_showing_up
Why can't I see a recent refund in my statement?,Refund_not_showing_up,refund_not_showing_up
"I did what you told me earlier and contacted the seller for a refund directly, but nothing is happening! It's been a week and I still haven't got anything. Please just give me back my money",Refund_not_showing_up,refund_not_showing_up
Where is my refund? I have been checking my account all day.,Refund_not_showing_up,refund_not_showing_up
It's been a week and I have done everything that I was asked to do and still nothing. I have contacted the seller and have not gotten a response. Please understand my frustration and put the money back in my account.,Refund_not_showing_up,refund_not_showing_up
My refund is missing,Refund_not_showing_up,refund_not_showing_up
Why doesn't a return show up im my account from a purchase I made?,Refund_not_showing_up,refund_not_showing_up
I keep checking my bank statements but I don't see a refund that I've requested from a seller. Can you ensure that I receive the refund from the seller?,Refund_not_showing_up,refund_not_showing_up
"I am waiting patiently for a week now for the seller to get back to me and there has been no response, could you please help me further with getting my money back.  Thank you.",Refund_not_showing_up,request_refund
I would like some help getting a refund back from a seller. It still isn't showing up on my statement and I requested this a long time ago. I'm not sure why it's not returned yet. Can you assist me in getting this money back?,Refund_not_showing_up,refund_not_showing_up
How long will it take to get my refund,Refund_not_showing_up,refund_not_showing_up
I should have received a refund however it is not showing on my statement,Refund_not_showing_up,refund_not_showing_up
Can you look at my account ans see why my card was declined,declined_card_payment,card_not_working
Why is my debit card being declined when I have money?,declined_card_payment,declined_cash_withdrawal
How long can an EU transfer take?,pending_transfer,transfer_timing
"I transferred money yesterday, but it still isn't available?",pending_transfer,balance_not_updated_after_bank_transfer
When will the transfer go through?,pending_transfer,transfer_timing
When will the transfer be completed?,pending_transfer,transfer_timing
"I would like to know why my payment is still pending, can you help?",pending_transfer,pending_card_payment
Someone transferred money to me and it doesn't show,pending_transfer,transfer_not_received_by_recipient
"What do I do if an ATM ""stole"" my card?",card_swallowed,lost_or_stolen_card
How do I retrieve my card from the machine?,card_swallowed,card_linking
I was retrieving money and my card wouldn't remove.,card_swallowed,top_up_failed
How can I get my card back out?,card_swallowed,lost_or_stolen_card
The ATM machine stole my card.,card_swallowed,lost_or_stolen_card
My ATM got stuck and I'm not sure what to do.,card_swallowed,declined_cash_withdrawal
I have a problem!  The ATM stole my card!,card_swallowed,lost_or_stolen_card
The ATM at Metro bank on High St. Kensington didn't return my card. What should I do now that the bank is closed?,card_swallowed,lost_or_stolen_card
WTF??? I tried to withdraw some money at a Metro bank on High St. Kensington and without any notice it disappeared in the machine. The bank was already closed so I couldn't do anything. How do I get it back?,card_swallowed,wrong_amount_of_cash_received
how soon will I see the transfer in my account?,transfer_timing,balance_not_updated_after_bank_transfer
How long until my transfer goes through?,transfer_timing,pending_transfer
how long dies it take for transfers to reflect on my balance,transfer_timing,balance_not_updated_after_bank_transfer
When should I expect to see my transfer hit my account?,transfer_timing,balance_not_updated_after_bank_transfer
How long is it going to take for my funds to show in my account?,transfer_timing,pending_top_up
"How long does a transfer take from the point it's sent, to the point it arrives in my account?",transfer_timing,balance_not_updated_after_bank_transfer
My card is being declined for a purchase. I bought items before and the card worked. Do you know what the problem is?,reverted_card_payment?,declined_card_payment
why did the app refuse to make an approved payment,reverted_card_payment?,declined_card_payment
I was contacted by a seller with a message that they never received my money. I am 100% sure it was taken from my account so I definitely need this sorted out soon.,reverted_card_payment?,transfer_not_received_by_recipient
"I am attempting to make a purchase online, but my card is not working.  I know there are funds available, is this an issue on the banks end?",reverted_card_payment?,card_not_working
"There must be an issue, why has my card been cancelled?",reverted_card_payment?,card_arrival
There was a canceled payment for my card.,reverted_card_payment?,card_payment_not_recognised
How can I change my Tholepin ?,change_pin,top_up_by_cash_or_cheque
May I receive a different card pin,change_pin,card_linking
I've tried numerous times to submit a transfer of funds. Why isn't it going through?,beneficiary_not_allowed,failed_transfer
I was unable to make a transfer to another account.,beneficiary_not_allowed,failed_transfer
I had a transfer blocked,beneficiary_not_allowed,declined_transfer
Can you please help me with this exchange?  I am trying to get crypto and the app won't let me.,beneficiary_not_allowed,declined_exchange
How do I do a successful transfer to an account?,beneficiary_not_allowed,transfer_into_account
I tried to transfer money but it said it wasn't possible? I've done this before and it worked why isn't it working now?,beneficiary_not_allowed,failed_transfer
What's the deal with no cryptocurrency on your app?,beneficiary_not_allowed,supported_cards_and_currencies
Why isn't my transfer not going through? I keep getting an error message.,beneficiary_not_allowed,declined_transfer
I have tried transferring money numerous times.  All I keep getting is an error message.  Can you tell me what is going on and how this van be fixed?,beneficiary_not_allowed,failed_transfer
I have a cryptocurrency exchange that won't go through. Please help me process it.,beneficiary_not_allowed,failed_transfer
Why isn't my transfer going through? I get a message saying it's not possible. I've had no issues in the past.,beneficiary_not_allowed,failed_transfer
I am trying to exchange crypto and it's not working. Tell me how to fix this.,beneficiary_not_allowed,failed_transfer
The account transfer I was trying to do failed.,beneficiary_not_allowed,failed_transfer
Can you help with a transfer to an account,beneficiary_not_allowed,transfer_into_account
Do charge fees for transfers?,transfer_fee_charged,top_up_by_bank_transfer_charge
"Why did I get charged for something I bought online? Even though it was international, I thought it would be covered.",transfer_fee_charged,card_payment_fee_charged
What extra charges are there?,transfer_fee_charged,card_payment_fee_charged
I was charged for something I didn't expect,transfer_fee_charged,card_payment_fee_charged
Is it possible for me to get money out in a different currency?,receiving_money,wrong_exchange_rate_for_cash_withdrawal
Is GBP a supported currency?,receiving_money,supported_cards_and_currencies
What are the ways for others to transfer me money?,receiving_money,transfer_into_account
What do I need to do to transfer my paycheck to my account?,receiving_money,transfer_into_account
Is it possible to deposit money in GBP?,receiving_money,top_up_by_bank_transfer_charge
How can my friend transfer money to me?,receiving_money,transfer_into_account
How do I deposit my paycheck to this account?,receiving_money,transfer_into_account
how come my transfer didn't work,failed_transfer,declined_transfer
Why hasn't my transfer been made?,failed_transfer,pending_transfer
What are your policies for card transfers?,failed_transfer,top_up_by_bank_transfer_charge
What is stopping my money from transferring?,failed_transfer,declined_transfer
"I'm out of money, can I add money with my bank?",transfer_into_account,top_up_by_cash_or_cheque
"I don't understand how to top up my account, can you please explain the process?",transfer_into_account,automatic_top_up
I don't understand the money transfer process.,transfer_into_account,transfer_timing
Can I add funds to the card directly from my bank account?,transfer_into_account,topping_up_by_card
How do I top up my card?,transfer_into_account,topping_up_by_card
What methods can I use to add money to my account?,transfer_into_account,top_up_by_cash_or_cheque
"I would like use the bank transfer, but I don't understand the process, can you please explain, topping up?",transfer_into_account,topping_up_by_card
I checked my account today and it said I was out of money. How do I transfer money into my account?,transfer_into_account,topping_up_by_card
Can I have a card after my first one?,getting_spare_card,lost_or_stolen_card
"My child needs a card, how can I add them to the account I currently have?",getting_spare_card,age_limit
Where do I locate topping up with cash.,top_up_by_cash_or_cheque,topping_up_by_cash_or_cheque
How can I top-up my card?,top_up_by_cash_or_cheque,topping_up_by_card
Where can I get my card at?,order_physical_card,card_acceptance
Is a non-electronic card available as well,order_physical_card,visa_or_mastercard
How much does it cost in fees to use your card?,order_physical_card,card_payment_fee_charged
can I have a non virtual card?,order_physical_card,getting_virtual_card
Where will I find my card?,order_physical_card,card_linking
My non-physical card will not work,virtual_card_not_working,card_not_working
Are there restrictions for my disposable card since it does not seem to be working?,virtual_card_not_working,disposable_card_not_working
Can I make multiple online transactions with my virtual card?,virtual_card_not_working,disposable_card_limits
My card is just not working at this time.,virtual_card_not_working,card_not_working
My disposable card seems not to be working am I doing something wrong?,virtual_card_not_working,card_not_working
Can you look to make sure the exchange rate is correct,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate
A wrong exchange rate was applied to a transaction made abroad.,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate
Is there a fee for exchanging cash?,wrong_exchange_rate_for_cash_withdrawal,exchange_charge
It seems I was overcharged when I used an ATM while on vacation. If I knew about your fees in advance I sure would have gone somewhere else.,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge
I withdrew some cash out of the ATM over the holiday. It seems that I was charged some outrageous fees. I would not have done that had I been aware of these outrageous charges!,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge
I used the ATM machine to get money out for Holiday shopping and saw the outrageous charges. Why is that? I would not have used the ATM if I had known!,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge
how do VR cards work,get_disposable_virtual_card,visa_or_mastercard
I just purchased a disposable virtual card. Am I able to use it for online purchases immediately?,get_disposable_virtual_card,virtual_card_linking
how secure is a disposable virtual card,get_disposable_virtual_card,disposable_card_limits
Can you explain disposable cards?,get_disposable_virtual_card,disposable_card_limits
Can i get a throw away card,get_disposable_virtual_card,disposable_card_limits
how many transactions can i make with a disposable card,get_disposable_virtual_card,disposable_card_limits
How can I check to see if my top-up worked?,top_up_failed,verify_top_up
"I really need money from my card today, but my card is getting declined. Please help!!",top_up_failed,card_not_working
How long will it take for my transferred money to show up?,balance_not_updated_after_bank_transfer,transfer_timing
How long does it take for an international transfer into my account?,balance_not_updated_after_bank_transfer,transfer_timing
When will my transfer be available in my account.,balance_not_updated_after_bank_transfer,transfer_timing
I didn't get the money I transferred,balance_not_updated_after_bank_transfer,transfer_fee_charged
