text,true_intent,predicted_intent
how long do money transfers take?,transfer_not_received_by_recipient,transfer_timing
I transferred some money and it didint arrive,transfer_not_received_by_recipient,transfer_not_received
Where is the transfer I started?,transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer
transaction failed?,transfer_not_received_by_recipient,failed_transfer
I need to find out why my transfer didn't get there.,transfer_not_received_by_recipient,failed_transfer
"The day before yesterday, I performed a transfer which was within this country. It still hasn't gone through. Can you check on that? The account number is definitely correct, as I've checked and double checked.",transfer_not_received_by_recipient,pending_transfer
I transferred some money but the receiver can't pick it up for some reason.,transfer_not_received_by_recipient,transfer_not_received
My friend still hasn't gotten a transaction I made.,transfer_not_received_by_recipient,transfer_not_received
Im waiting for my transaction to go through.,transfer_not_received_by_recipient,pending_transfer
I made a transaction and it is taking a very long time to go through.,transfer_not_received_by_recipient,pending_transfer
How long will it take for my transaction to be completed?,transfer_not_received_by_recipient,transfer_not_received
I sent some money and the receiver can't access it.,transfer_not_received_by_recipient,transfer_not_received
When will my funds transfer?,transfer_not_received_by_recipient,transfer_timing
I transferred some money but the recipient is having trouble withdrawing.,transfer_not_received_by_recipient,declined_cash_withdrawal
"I need support options, I want to top my card",supported_cards_and_currencies,topping_up_by_card
How do I transfer funds from my American Express into my account?,supported_cards_and_currencies,transfer_into_account
What options do I have in regards to payment?,supported_cards_and_currencies,card_payment_not_recognised
Can I get a copy of the card by email?,getting_virtual_card,order_physical_card
"I am traveling to Germany, Will I be able to use my card there?",card_acceptance,country_support
Where should my card work?,card_acceptance,country_support
areas card is accpeted,card_acceptance,supported_cards_and_currencies
Will filling stations accept my card?,card_acceptance,top_up_by_card_charge
The app wouldn't accept my top up.,top_up_reverted,top_up_failed
"I believe my money did not go through with my top up, was there a problem on your end?",top_up_reverted,top_up_failed
I put money into my account for the minimum balance but the application didn't accept.,top_up_reverted,declined_transfer
What happened to my top-up?,top_up_reverted,pending_top_up
On my last transaction it seem that my top-up was not successful.,top_up_reverted,top_up_failed
I made a deposit this morning but it is still pending?,balance_not_updated_after_cheque_or_cash_deposit,pending_top_up
Are cheques accepted to my account? Mine didn't seem to work.,balance_not_updated_after_cheque_or_cash_deposit,declined_cheque
Why does my account not accept cash deposits?,balance_not_updated_after_cheque_or_cash_deposit,declined_cash_withdrawal
Can you freeze my account?  I just saw there are transactions on my account that I don't recognize.  How can I fix this?,card_payment_not_recognised,compromised_card
I think my statement has a fraudulent charge,card_payment_not_recognised,extra_charge_on_statement
What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!,card_payment_not_recognised,compromised_card
I have an unauthorized transaction on my statement,card_payment_not_recognised,direct_debit_payment_not_recognised
I see a charge on my account that I don't recall making. I feel like my account may have been compromised.,card_payment_not_recognised,compromised_card
There is a fraudulent charge on my statement.,card_payment_not_recognised,direct_debit_payment_not_recognised
What other methods are there to verify my identity?,why_verify_identity,verify_my_identity
what do i do if my verification failed,unable_to_verify_identity,why_verify_identity
The app will not let me into my account.,unable_to_verify_identity,passcode_forgotten
What's with not verifying my Id?,unable_to_verify_identity,why_verify_identity
What do i need to verify my id?,unable_to_verify_identity,verify_my_identity
How do I set-up my PIN for the new card?,get_physical_card,change_pin
where in the app can i find out about my new pin,get_physical_card,change_pin
Am I allowed to use any card to make a payment?,visa_or_mastercard,card_acceptance
What major card payments are accepted?,visa_or_mastercard,supported_cards_and_currencies
Where's the money that got charged to my card? It's not showing up in my account balance,topping_up_by_card,transfer_not_received_by_recipient
"I did a top-up, but I'm not seeing it in my wallet yet.",topping_up_by_card,pending_top_up
Is there a way to transfer funds directly from my card?,topping_up_by_card,transfer_into_account
How can someone add money to my account?,topping_up_by_card,transfer_into_account
Cannot access my top up.,topping_up_by_card,top_up_failed
Why is my money gone right when I attempted to top up,topping_up_by_card,top_up_reverted
I topped up my card but the money disappeared.,topping_up_by_card,top_up_reverted
Why can't I see the top-up amount I just added to my account?,topping_up_by_card,pending_top_up
How can i get multiple disposble cards.,disposable_card_limits,getting_spare_card
What is the maximum number of transactions I can make with one card?,disposable_card_limits,transaction_charged_twice
How many virtual cards do I get?,disposable_card_limits,getting_virtual_card
What can I use a virtual disposable card for?,disposable_card_limits,get_disposable_virtual_card
Can I freeze my card right now?,compromised_card,card_not_working
How do I freeze my card using the app?,compromised_card,card_not_working
How do I freeze my account?,compromised_card,terminate_account
I think someone copied the numbers on my card and is using them.,compromised_card,card_payment_not_recognised
Can I use app to freeze my card and dispute fraud?,compromised_card,card_not_working
Where is the nearest bank machine?,atm_support,get_physical_card
what is this charge on my account,direct_debit_payment_not_recognised,extra_charge_on_statement
someone stole my money,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised
"I am seeing a weird payment showing up that I know I did not make, how can I get it cancelled?",direct_debit_payment_not_recognised,card_payment_not_recognised
Someone has taken my money and I don't know who,direct_debit_payment_not_recognised,cash_withdrawal_not_recognised
I was charged on my account that shouldn't be there.,direct_debit_payment_not_recognised,extra_charge_on_statement
How do i finalize a card payment,pending_card_payment,declined_card_payment
"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",pending_card_payment,transaction_charged_twice
Someone stole my cards!,lost_or_stolen_phone,lost_or_stolen_card
I can't find my phone but it has all my credit card information.,lost_or_stolen_phone,compromised_card
"I wasn't charged the correct amount for an item I purchased, how can I fix this?",request_refund,card_payment_wrong_exchange_rate
Please stop my purchase.,request_refund,cancel_transfer
I want this amount reversed out of my account.,request_refund,direct_debit_payment_not_recognised
Good morning. I tried to make a purchase with my credit card last night and again this morning. Both times it was declined. Can you investigate?,declined_transfer,declined_card_payment
"How can I fix my card, it got declined twice.",declined_transfer,declined_card_payment
Why was I unable to do a transfer?,declined_transfer,beneficiary_not_allowed
Trouble transferring transaction contact for help,declined_transfer,beneficiary_not_allowed
When I try and to buy something using my card it keeps getting declined.,declined_transfer,declined_card_payment
Double check your funds may be declined,declined_transfer,declined_cash_withdrawal
It's been a week and I have done everything that I was asked to do and still nothing. I have contacted the seller and have not gotten a response. Please understand my frustration and put the money back in my account.,Refund_not_showing_up,request_refund
"I am waiting patiently for a week now for the seller to get back to me and there has been no response, could you please help me further with getting my money back.  Thank you.",Refund_not_showing_up,pending_transfer
I'm really stuck. I don't know why but my card payment has not gone through.,declined_card_payment,pending_card_payment
How long can an EU transfer take?,pending_transfer,transfer_timing
"I transferred money yesterday, but it still isn't available?",pending_transfer,transfer_not_received_by_recipient
When will the transfer be completed?,pending_transfer,transfer_not_received_by_recipient
"I would like to know why my payment is still pending, can you help?",pending_transfer,pending_card_payment
Someone transferred money to me and it doesn't show,pending_transfer,balance_not_updated_after_bank_transfer
How do I retrieve my card from the machine?,card_swallowed,card_linking
The ATM won't give back my card,card_swallowed,declined_cash_withdrawal
WTF??? I tried to withdraw some money at a Metro bank on High St. Kensington and without any notice it disappeared in the machine. The bank was already closed so I couldn't do anything. How do I get it back?,card_swallowed,pending_cash_withdrawal
How many days does it take until funds are in my account?,transfer_timing,balance_not_updated_after_bank_transfer
How long until my transfer goes through?,transfer_timing,pending_transfer
how long dies it take for transfers to reflect on my balance,transfer_timing,balance_not_updated_after_bank_transfer
Will my transfer immediately show up in my account?,transfer_timing,balance_not_updated_after_bank_transfer
How long does it take for a transfer?,transfer_timing,transfer_not_received_by_recipient
How long does a funds transfer take from one back to another?,transfer_timing,balance_not_updated_after_bank_transfer
My card is being declined for a purchase. I bought items before and the card worked. Do you know what the problem is?,reverted_card_payment?,declined_transfer
why did the app refuse to make an approved payment,reverted_card_payment?,beneficiary_not_allowed
I was contacted by a seller with a message that they never received my money. I am 100% sure it was taken from my account so I definitely need this sorted out soon.,reverted_card_payment?,direct_debit_payment_not_recognised
"I am attempting to make a purchase online, but my card is not working.  I know there are funds available, is this an issue on the banks end?",reverted_card_payment?,declined_transfer
May I receive a different card pin,change_pin,get_spare_card
I've tried numerous times to submit a transfer of funds. Why isn't it going through?,beneficiary_not_allowed,failed_transfer
How do I do a successful transfer to an account?,beneficiary_not_allowed,transfer_into_account
What's the deal with no cryptocurrency on your app?,beneficiary_not_allowed,reverted_card_payment?
The account transfer I was trying to do failed.,beneficiary_not_allowed,failed_transfer
Can you help with a transfer to an account,beneficiary_not_allowed,transfer_into_account
In the past month I often used this account to manage payments for my new holiday villa. Now all of a sudden your fees have increased exorbitantly! Don't you have a rewards programme for frequent users?,transfer_fee_charged,reverted_card_payment?
I was charged for something I didn't expect,transfer_fee_charged,card_payment_fee_charged
Is it possible for me to get money out in a different currency?,receiving_money,wrong_exchange_rate_for_cash_withdrawal
Is GBP a supported currency?,receiving_money,supported_cards_and_currencies
Is it possible to deposit money in GBP?,receiving_money,transfer_into_account
Why hasn't my transfer been made?,failed_transfer,pending_transfer
What are your policies for card transfers?,failed_transfer,topping_up_by_card
My transfer appeared not to work.,failed_transfer,declined_transfer
What is stopping my money from transferring?,failed_transfer,beneficiary_not_allowed
"I am trying to make a transfer and am unsuccessful, can you please tell me why?",failed_transfer,beneficiary_not_allowed
help me with my transfer,failed_transfer,transfer_into_account
"I don't understand how to top up my account, can you please explain the process?",transfer_into_account,topping_up_by_card
How do I top up my card?,transfer_into_account,topping_up_by_card
What methods can I use to add money to my account?,transfer_into_account,top_up_by_cash_or_cheque
"My child needs a card, how can I add them to the account I currently have?",getting_spare_card,age_limit
how come i can't find anywhere to load using cash,top_up_by_cash_or_cheque,declined_cash_withdrawal
What can I pay with? Does cash work?,top_up_by_cash_or_cheque,supported_cards_and_currencies
How can I top-up my card?,top_up_by_cash_or_cheque,topping_up_by_card
Is a non-electronic card available as well,order_physical_card,getting_spare_card
How much does it cost in fees to use your card?,order_physical_card,card_payment_fee_charged
can I have a non virtual card?,order_physical_card,getting_virtual_card
Where will I find my card?,order_physical_card,get_physical_card
My non-physical card will not work,virtual_card_not_working,card_not_working
Can I make multiple online transactions with my virtual card?,virtual_card_not_working,disposable_card_limits
Is there a trick to get the disposable virtual card to work?,virtual_card_not_working,get_disposable_virtual_card
My card is just not working at this time.,virtual_card_not_working,card_not_working
How do I make my virtual card work?,virtual_card_not_working,getting_virtual_card
Can you look to make sure the exchange rate is correct,wrong_exchange_rate_for_cash_withdrawal,exchange_rate
A wrong exchange rate was applied to a transaction made abroad.,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate
Is there a fee for exchanging cash?,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge
Can you explain your exchange rate policy? I don't think I received the correct amount of cash in my ATM transaction.,wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received
how do VR cards work,get_disposable_virtual_card,get_virtual_card
how do i get a virtual card for one time use,get_disposable_virtual_card,getting_virtual_card
Can i get a single use virtual card,get_disposable_virtual_card,getting_virtual_card
how does a virtual card work,get_disposable_virtual_card,getting_virtual_card
Can i get a throw away card,get_disposable_virtual_card,disposable_card
how many transactions can i make with a disposable card,get_disposable_virtual_card,disposable_card_limits
My funding to my card didn't go through.,top_up_failed,declined_card_payment
Can you tell me if my pop-up went through?,top_up_failed,declined_transfer
"I really need money from my card today, but my card is getting declined. Please help!!",top_up_failed,declined_card_payment
How long will it take for my transferred money to show up?,balance_not_updated_after_bank_transfer,pending_transfer
How long does it take for an international transfer into my account?,balance_not_updated_after_bank_transfer,transfer_timing
When will my transfer be available in my account.,balance_not_updated_after_bank_transfer,pending_transfer
I transferred some money but I think it has gotten lost somewhere.,balance_not_updated_after_bank_transfer,transfer_not_received
How long does a UK transfer take?,balance_not_updated_after_bank_transfer,transfer_timing
I made a transfer and am still waiting.,balance_not_updated_after_bank_transfer,pending_transfer
I made an out of country transfer and it hasn't went through yet.,balance_not_updated_after_bank_transfer,pending_transfer
I transferred some money but it is yet to arrive.,balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient
Why don't I have my transfer?,balance_not_updated_after_bank_transfer,pending_transfer
How long until my transfer will be available to me,balance_not_updated_after_bank_transfer,transfer_timing
My transfer is pending.,balance_not_updated_after_bank_transfer,pending_transfer
Where is my transfer from [country]?,balance_not_updated_after_bank_transfer,country_support
How do I cancel my card? There are charges on my account that I didn't make.,cash_withdrawal_not_recognised,card_payment_not_recognised
whats your exchange rate,exchange_charge,exchange_rate
Where do I find the exchange rate?,exchange_charge,exchange_rate
Is it okay to use a bank card to top up,top_up_by_card_charge,topping_up_by_card
Can I top up using an international card,top_up_by_card_charge,supported_cards_and_currencies
WHAT CAN I DO AFTER THE CARD MISSING,activate_my_card,lost_or_stolen_card
How can I start using my card?,activate_my_card,card_linking
Why did I get a fee?,cash_withdrawal_charge,transfer_fee_charged
I had a wrong fee charged at this ATM.,cash_withdrawal_charge,wrong_exchange_rate_for_cash_withdrawal
"When I got cash, I'm pretty sure there was a glitch that overcharged me.",cash_withdrawal_charge,wrong_exchange_rate_for_cash_withdrawal
how long and how much does it cost for new card,card_about_to_expire,order_physical_card
I need to verify my identity,verify_my_identity,why_verify_identity
